Year,Region,Disaster Type,Severity Score,Claim Frequency,Claim Amount (USD)
2019,Europe,Flood,4.5,1131,15457305.69
2018,North America,Hurricane/Storm,8.9,603,40526228.28
2021,North America,Flood,6.3,340,14685522.59
2020,Asia-Pacific,Hurricane/Storm,8.3,977,38800161.02
2021,North America,Tornado,4.0,84,5822376.15
2023,Asia-Pacific,Hurricane/Storm,5.4,2274,48997443.64
2020,North America,Hurricane/Storm,6.0,1163,24361204.01
2019,North America,Flood,5.7,432,17205095.95
2020,Europe,Hurricane/Storm,7.1,723,34067995.12
2020,North America,Hurricane/Storm,7.9,2361,170036515.39
2019,Asia-Pacific,Earthquake,9.4,162,24277105.43
2023,Asia-Pacific,Earthquake,6.4,829,116864198.73
2020,North America,Flood,6.4,334,5025919.62
2023,Asia-Pacific,Hurricane/Storm,7.8,1280,101987411.65
2023,Asia-Pacific,Earthquake,8.1,201,25991231.47
2023,North America,Hurricane/Storm,8.5,1629,103034893.45
2018,North America,Earthquake,6.8,447,59335639.35
2022,Europe,Hurricane/Storm,6.3,1140,68293377.83
2023,Europe,Flood,7.7,337,4599710.15
2019,North America,Earthquake,8.6,481,63096102.62
2022,Asia-Pacific,Hurricane/Storm,7.2,1175,70735935.16
2023,Europe,Wildfire,8.8,266,24143875.81
2019,Asia-Pacific,Tornado,6.7,190,3932625.91
2019,Asia-Pacific,Flood,5.9,421,10105919.66
2021,Asia-Pacific,Flood,5.1,663,28037510.76
2021,Asia-Pacific,Tornado,7.7,295,4850968.42
2020,Latin America,Wildfire,6.1,142,6976307.66
2023,Asia-Pacific,Tornado,5.6,102,6409929.78
2023,Asia-Pacific,Earthquake,6.5,748,110091411.84
2022,North America,Hurricane/Storm,6.5,1429,57808421.48
2019,Europe,Hurricane/Storm,8.1,1662,92695434.56
2023,Latin America,Flood,7.0,301,11124583.28
2020,North America,Hurricane/Storm,6.9,1405,63015689.1
2018,North America,Hurricane/Storm,6.4,727,26895211.02
2019,Asia-Pacific,Earthquake,8.3,146,10519569.16
2018,Middle East & Africa,Flood,4.8,632,25718596.05
2020,Asia-Pacific,Flood,4.5,1218,48574528.09
2021,North America,Earthquake,8.5,612,64793882.34
2020,Asia-Pacific,Earthquake,7.4,859,46583764.27
2018,North America,Tornado,7.9,229,10656968.98
2019,Asia-Pacific,Earthquake,6.4,121,17741016.26
2022,North America,Tornado,6.1,195,3870192.98
2023,Asia-Pacific,Flood,6.4,1273,16734709.69
2020,Latin America,Hurricane/Storm,5.9,2095,63034281.4
2019,Asia-Pacific,Flood,6.0,915,22000250.3
2023,Middle East & Africa,Hurricane/Storm,5.6,710,20438523.7
2021,North America,Hurricane/Storm,8.0,1842,45168043.8
2021,Middle East & Africa,Hurricane/Storm,6.9,1654,108490208.33
2023,Europe,Tornado,6.5,175,10943376.17
2021,Asia-Pacific,Flood,4.3,1105,38957222.31
2019,Asia-Pacific,Hurricane/Storm,6.4,651,25144530.64
2020,Europe,Flood,7.3,357,12775837.19
2019,Middle East & Africa,Flood,6.4,987,28137856.29
2019,Asia-Pacific,Hurricane/Storm,8.6,1421,105925599.3
2023,Asia-Pacific,Flood,6.4,1226,19658227.2
2022,North America,Flood,7.6,903,44513767.19
2022,North America,Hurricane/Storm,5.2,1949,90171452.6
2020,Europe,Hurricane/Storm,5.6,1263,94821249.88
2023,Europe,Hurricane/Storm,7.7,607,40883644.85
2022,Asia-Pacific,Flood,4.4,991,21173586.04
2021,Asia-Pacific,Hurricane/Storm,8.6,2288,66403250.36
2022,North America,Hurricane/Storm,8.7,1135,88600132.17
2021,Asia-Pacific,Earthquake,8.1,186,15058223.11
2020,Europe,Hurricane/Storm,8.3,1872,116381963.56
2019,Latin America,Tornado,8.1,57,2880287.81
2019,Europe,Earthquake,7.3,284,41213208.51
2022,Europe,Hurricane/Storm,5.8,781,22880730.8
2021,North America,Hurricane/Storm,7.0,1605,112522039.3
2018,Latin America,Flood,5.3,1465,22329473.83
2018,Europe,Flood,7.3,1479,62653026.45
2018,North America,Earthquake,7.4,792,96591185.36
2019,Middle East & Africa,Hurricane/Storm,8.0,2105,98799601.73
2023,Asia-Pacific,Flood,7.2,1160,53544409.29
2019,North America,Hurricane/Storm,7.3,1402,66876519.79
2023,North America,Earthquake,7.8,265,34897617.85
2021,Asia-Pacific,Flood,5.0,1184,53238178.52
2022,Asia-Pacific,Flood,7.4,455,9738146.86
2018,Asia-Pacific,Flood,7.6,501,21664176.24
2021,North America,Tornado,7.7,188,12441079.73
2021,Europe,Earthquake,7.3,495,73979004.89
2022,Europe,Flood,7.7,886,36906529.79
2021,North America,Flood,7.3,484,19531164.76
2022,Europe,Hurricane/Storm,8.6,538,19021224.41
2020,Asia-Pacific,Hurricane/Storm,7.9,1580,71724551.15
2022,Asia-Pacific,Flood,4.5,688,18433598.96
2018,Asia-Pacific,Earthquake,6.4,611,67010755.52
2023,North America,Hurricane/Storm,6.0,794,29756197.5
2023,North America,Earthquake,8.0,291,33883204.88
2018,North America,Tornado,4.3,279,12533937.68
2023,Asia-Pacific,Hurricane/Storm,5.1,2288,110300143.53
2022,Asia-Pacific,Tornado,5.1,18,623522.94
2020,North America,Flood,6.6,412,16834342.65
2023,Asia-Pacific,Flood,4.2,1318,31028211.45
2020,Asia-Pacific,Wildfire,7.7,406,25779855.9
2018,North America,Flood,6.9,1137,13052022.78
2020,North America,Hurricane/Storm,8.5,1146,87098588.58
2021,Asia-Pacific,Tornado,6.4,139,2364965.8
2019,Asia-Pacific,Flood,7.4,297,13255683.53
2021,Europe,Flood,5.5,1019,40487222.08
2018,Latin America,Earthquake,9.4,608,72477764.26
2023,Europe,Hurricane/Storm,6.1,669,42565044.36
2023,North America,Hurricane/Storm,8.3,1617,60841217.97
2020,North America,Flood,5.2,1113,37958714.87
2022,Europe,Hurricane/Storm,6.4,586,37274794.15
2019,Latin America,Hurricane/Storm,6.7,1809,142552160.88
2022,Latin America,Flood,6.6,944,28814128.09
2018,Asia-Pacific,Flood,4.1,1444,53606413.25
2023,Europe,Flood,4.9,950,23261722.14
2020,Latin America,Flood,4.6,1121,53755247.05
2023,Europe,Hurricane/Storm,7.3,1584,66554923.12
2022,Europe,Flood,7.8,253,9975029.58
2022,Europe,Earthquake,8.0,368,46918692.99
2019,Asia-Pacific,Flood,6.4,1205,21698596.04
2019,North America,Flood,4.7,1111,55428341.23
2020,Asia-Pacific,Tornado,8.4,187,10102623.91
2019,Asia-Pacific,Flood,5.2,522,20082574.09
2022,Latin America,Hurricane/Storm,8.2,1541,51553379.75
2022,Middle East & Africa,Hurricane/Storm,5.9,1511,32602909.87
2018,Asia-Pacific,Earthquake,8.8,664,41816809.65
2022,Latin America,Flood,5.6,1180,36612834.91
2020,Asia-Pacific,Wildfire,5.3,212,15892304.67
2021,Europe,Hurricane/Storm,6.4,2298,160269928.04
2018,Asia-Pacific,Hurricane/Storm,8.1,764,35111222.25
2018,Latin America,Flood,4.5,513,11370635.62
2020,North America,Tornado,5.0,275,17660754.49
2020,Asia-Pacific,Flood,6.5,1328,27858838.88
2019,Asia-Pacific,Hurricane/Storm,5.4,1812,54574095.24
2018,Latin America,Flood,6.6,1439,33823383.41
2019,Latin America,Flood,7.5,366,4325560.8
2022,Asia-Pacific,Hurricane/Storm,7.6,2070,112459440.54
2018,Asia-Pacific,Flood,7.6,1317,28429902.88
2018,Middle East & Africa,Earthquake,8.8,801,72578011.39
2023,Europe,Hurricane/Storm,5.6,1351,66273396.61
2021,North America,Hurricane/Storm,6.3,1971,77182356.59
2018,Middle East & Africa,Flood,5.6,958,29314038.74
2022,North America,Flood,4.5,1120,22306765.94
2019,North America,Flood,5.5,1460,39019069.01
2019,Middle East & Africa,Tornado,7.7,170,4324948.85
2023,North America,Tornado,6.1,167,7073345.96
2021,North America,Earthquake,7.6,346,24743997.02
2022,Europe,Flood,6.0,1163,24923014.7
2019,North America,Flood,4.5,741,28973339.0
2020,Asia-Pacific,Earthquake,7.4,683,72522091.89
2022,Europe,Flood,5.5,1122,45526456.67
2022,North America,Tornado,7.1,70,1545354.05
2021,North America,Earthquake,9.5,671,96553448.84
2019,Asia-Pacific,Flood,6.0,1224,14210880.21
2022,North America,Hurricane/Storm,8.2,1563,74116387.09
2023,Asia-Pacific,Hurricane/Storm,6.3,1755,68641212.34
2023,Europe,Hurricane/Storm,8.4,1715,68912828.23
2019,Asia-Pacific,Hurricane/Storm,7.8,1113,53973327.83
2023,North America,Flood,4.4,1053,35115534.21
2020,Asia-Pacific,Hurricane/Storm,7.8,554,30921275.63
2021,North America,Hurricane/Storm,8.9,1684,92044179.36
2023,Asia-Pacific,Hurricane/Storm,5.7,1788,113128494.57
2023,Asia-Pacific,Earthquake,8.9,348,18498653.86
2020,Latin America,Flood,4.1,842,22524520.44
2021,Europe,Flood,6.0,1452,67983856.77
2022,Latin America,Hurricane/Storm,5.2,782,39976616.29
2021,Asia-Pacific,Tornado,6.2,202,6515791.37
2018,North America,Tornado,5.5,191,9964999.4
2019,Latin America,Hurricane/Storm,8.2,1041,58925383.19
2019,North America,Flood,6.2,660,31455218.42
2018,Middle East & Africa,Hurricane/Storm,7.8,1913,119178552.45
2020,Europe,Flood,7.7,760,16348797.02
2018,Asia-Pacific,Hurricane/Storm,8.6,1308,90386263.07
2022,Middle East & Africa,Wildfire,6.2,197,19083776.17
2022,North America,Tornado,7.0,255,6826164.98
2019,Asia-Pacific,Flood,6.2,756,11711134.15
2022,Asia-Pacific,Hurricane/Storm,6.0,1871,139035977.28
2019,North America,Flood,4.4,876,33896226.29
2018,North America,Hurricane/Storm,5.0,1627,128003643.69
2018,North America,Hurricane/Storm,8.5,1474,71705547.15
2023,North America,Tornado,5.4,40,2597461.31
2023,North America,Hurricane/Storm,7.1,1980,140619572.47
2018,North America,Tornado,5.9,100,6636574.36
2019,North America,Wildfire,8.2,145,13856578.76
2018,Middle East & Africa,Tornado,7.9,14,439762.0
2018,Asia-Pacific,Tornado,5.5,242,16794913.95
2020,Asia-Pacific,Earthquake,9.3,971,97509050.6
2018,North America,Wildfire,6.3,424,26340581.5
2022,North America,Flood,6.9,804,26299844.11
2019,Asia-Pacific,Flood,7.4,1030,44371980.8
2020,Asia-Pacific,Flood,6.7,578,28476561.65
2023,Europe,Tornado,4.0,206,5758455.79
2021,Asia-Pacific,Tornado,5.4,15,440781.35
2019,Europe,Flood,6.7,1153,25679908.49
2022,Europe,Hurricane/Storm,8.6,1940,128409497.92
2019,Asia-Pacific,Hurricane/Storm,8.8,1252,71210663.66
2023,North America,Flood,4.6,1440,35920790.9
2022,Asia-Pacific,Tornado,7.4,121,6885175.77
2022,Asia-Pacific,Hurricane/Storm,8.1,1576,73764488.75
2021,Asia-Pacific,Flood,6.3,326,14067213.66
2019,Latin America,Flood,6.1,536,12394842.15
2021,Asia-Pacific,Flood,4.8,1394,41197047.43
2021,Latin America,Earthquake,6.2,235,23811324.32
2019,Europe,Flood,5.8,831,32351829.85
2018,Europe,Wildfire,8.0,346,12148775.12
2018,Europe,Hurricane/Storm,7.2,623,47394705.02
2023,North America,Tornado,4.1,219,5452875.08
2021,North America,Hurricane/Storm,7.9,2473,111833304.49
2020,Middle East & Africa,Earthquake,9.0,486,42556372.94
2021,Asia-Pacific,Hurricane/Storm,7.2,1838,131632404.17
2021,North America,Tornado,5.8,75,4127414.83
2021,North America,Flood,4.1,811,23129846.55
2023,Asia-Pacific,Earthquake,7.3,335,25041653.29
2018,Europe,Flood,7.7,431,4865426.51
2023,Asia-Pacific,Hurricane/Storm,8.7,2320,48577894.85
2023,North America,Flood,4.1,1424,52518466.36
2023,Latin America,Flood,4.2,1098,21272181.11
2018,North America,Wildfire,5.2,307,30559959.15
2018,North America,Tornado,6.6,174,4877171.61
2021,Latin America,Tornado,6.3,221,6967589.09
2023,North America,Tornado,8.0,99,4893532.63
2020,Europe,Earthquake,9.4,758,88787763.38
2018,Asia-Pacific,Flood,5.7,505,11107747.59
2019,North America,Hurricane/Storm,6.0,961,36560461.91
2019,Asia-Pacific,Wildfire,8.7,337,19845061.97
2019,Europe,Hurricane/Storm,6.6,1022,32908608.47
2022,Asia-Pacific,Tornado,7.8,57,2534217.41
2021,Asia-Pacific,Flood,5.5,1438,49060076.03
2019,Latin America,Flood,7.0,1344,25106808.21
2021,North America,Tornado,5.4,17,453040.27
2019,North America,Hurricane/Storm,8.0,2044,99614856.27
2020,North America,Hurricane/Storm,5.8,2374,81570301.79
2021,Europe,Flood,5.9,935,20884993.43
2019,Europe,Wildfire,6.9,461,45497146.6
2018,Europe,Wildfire,8.7,239,12405185.38
2021,North America,Wildfire,8.0,58,2798742.89
2022,Latin America,Hurricane/Storm,6.7,812,25798463.65
2018,North America,Hurricane/Storm,6.0,1627,96442829.65
2018,Asia-Pacific,Flood,7.3,1204,34233524.57
2023,Asia-Pacific,Earthquake,6.5,659,65130045.57
2022,Latin America,Hurricane/Storm,7.6,620,31890732.25
2018,Asia-Pacific,Flood,7.3,299,12131492.57
2018,Europe,Wildfire,5.9,412,16715695.0
2019,North America,Earthquake,6.2,753,87856631.14
2019,Asia-Pacific,Earthquake,7.7,106,10941452.34
2021,Europe,Flood,6.9,1297,63681628.59
2021,North America,Wildfire,7.7,462,44250283.26
2021,North America,Tornado,6.4,133,3398983.0
2019,Asia-Pacific,Wildfire,6.1,253,8989430.81
2021,Middle East & Africa,Earthquake,6.9,813,59012194.64
2018,Asia-Pacific,Wildfire,7.6,489,36915887.08
2019,North America,Earthquake,7.3,587,32643946.93
2021,North America,Flood,6.0,1088,38946363.17
2018,Europe,Tornado,8.4,280,18354944.12
2021,North America,Tornado,7.1,300,12345754.75
2020,North America,Flood,7.7,1312,42692997.67
2021,North America,Tornado,5.4,116,5485290.34
2020,Asia-Pacific,Hurricane/Storm,6.6,657,24937494.99
2021,Asia-Pacific,Hurricane/Storm,8.4,1886,139170855.79
2023,Europe,Hurricane/Storm,5.6,1911,121252594.95
2023,Asia-Pacific,Tornado,4.2,233,6469925.42
2022,North America,Hurricane/Storm,7.5,1719,75295952.51
2023,Asia-Pacific,Flood,5.1,1122,33238283.11
2023,Europe,Tornado,5.9,204,4021488.0
2021,Asia-Pacific,Hurricane/Storm,7.9,668,24100319.0
2019,Europe,Hurricane/Storm,5.6,1297,50583899.76
2019,North America,Flood,5.2,937,37905266.49
2020,North America,Flood,5.7,1340,43134064.03
2019,Europe,Flood,5.4,390,13212023.06
2018,Asia-Pacific,Wildfire,5.0,261,14915097.95
2022,North America,Tornado,8.1,134,6225348.37
2023,North America,Earthquake,6.5,408,31350997.32
2022,North America,Flood,5.1,813,23877202.33
2018,North America,Flood,5.0,1480,44151504.25
2023,Asia-Pacific,Earthquake,6.5,106,15357528.7
2020,Europe,Hurricane/Storm,8.2,1174,54489302.59
2018,Europe,Wildfire,7.6,354,13993164.41
2018,Europe,Tornado,4.9,170,4210908.49
2022,Europe,Flood,6.9,1496,44341877.6
2021,Asia-Pacific,Flood,5.5,1004,24699023.98
2022,Latin America,Flood,8.0,568,21168511.02
2022,Asia-Pacific,Tornado,6.1,117,4576457.63
2019,North America,Hurricane/Storm,8.3,2129,144139128.1
2018,Asia-Pacific,Flood,5.2,717,26060453.94
2022,Asia-Pacific,Hurricane/Storm,5.3,1724,84052037.34
2018,Europe,Hurricane/Storm,8.7,1916,86407847.59
2019,North America,Tornado,7.2,284,13535467.52
2018,Latin America,Flood,5.0,927,15437831.33
2022,Asia-Pacific,Hurricane/Storm,7.6,1824,80214166.15
2018,Asia-Pacific,Tornado,5.9,15,306350.41
2023,North America,Hurricane/Storm,7.2,1908,104012948.39
2019,Europe,Earthquake,8.7,702,83568698.86
2021,North America,Tornado,6.2,161,6098462.42
2018,Middle East & Africa,Flood,7.8,490,11727241.59
2022,Europe,Hurricane/Storm,7.1,1213,58915109.02
2019,Europe,Hurricane/Storm,6.3,1114,25266615.24
2022,Asia-Pacific,Flood,5.4,423,15687197.51
2022,North America,Tornado,5.1,99,4490151.53
2018,Europe,Earthquake,7.6,916,82902345.16
2022,North America,Hurricane/Storm,6.7,559,35912005.91
2018,Latin America,Earthquake,7.5,104,12529250.41
2021,North America,Hurricane/Storm,8.2,628,34314469.07
2023,Asia-Pacific,Hurricane/Storm,6.5,903,42850081.88
2022,North America,Wildfire,7.1,377,19580734.46
2022,Europe,Earthquake,6.4,460,61893818.92
2022,Asia-Pacific,Wildfire,7.8,202,19050171.68
2020,Asia-Pacific,Hurricane/Storm,6.3,988,37862926.55
2020,North America,Hurricane/Storm,7.0,1356,75645204.51
2019,Asia-Pacific,Earthquake,7.7,650,77573140.22
2023,Asia-Pacific,Tornado,6.5,260,8030337.27
2023,North America,Wildfire,7.5,493,27180441.83
2020,North America,Flood,7.3,1350,40793653.07
2019,Europe,Hurricane/Storm,6.7,2220,103521052.14
2020,North America,Hurricane/Storm,8.2,951,35686650.24
2021,North America,Hurricane/Storm,5.7,1436,77456443.74
2019,Asia-Pacific,Earthquake,7.8,686,42134576.28
2023,Asia-Pacific,Wildfire,6.5,471,39081242.41
2023,Asia-Pacific,Earthquake,6.8,535,32229279.48
2020,Asia-Pacific,Hurricane/Storm,6.2,566,26592910.36
2021,Europe,Wildfire,6.8,110,9272363.7
2020,North America,Wildfire,7.4,229,20672610.6
2018,Asia-Pacific,Earthquake,8.2,903,63807754.95
2018,North America,Flood,5.4,775,26252588.26
2021,North America,Tornado,5.3,146,9837750.68
2022,Asia-Pacific,Tornado,7.7,79,5368244.32
2022,Asia-Pacific,Tornado,8.5,74,3964805.97
2018,North America,Flood,5.3,706,28564014.11
2018,Asia-Pacific,Earthquake,8.0,375,42292980.78
2022,Europe,Flood,7.2,390,10184472.06
2019,Asia-Pacific,Hurricane/Storm,8.5,1431,110208815.21
2022,Europe,Flood,7.1,390,15302538.22
2020,Europe,Hurricane/Storm,6.4,629,42608884.95
2019,Europe,Tornado,7.7,263,7829385.37
2020,Asia-Pacific,Flood,6.3,1359,59927691.25
2018,Asia-Pacific,Wildfire,8.0,73,2698826.93
2019,Asia-Pacific,Earthquake,6.4,978,64350787.76
2020,Europe,Tornado,5.9,77,4890895.78
2020,Europe,Wildfire,8.5,97,7354652.28
2019,North America,Earthquake,9.2,269,14843077.7
2021,Asia-Pacific,Hurricane/Storm,8.0,1379,81814847.8
2022,Asia-Pacific,Flood,5.9,471,15894921.72
2023,Asia-Pacific,Earthquake,6.0,451,59401617.11
2020,Middle East & Africa,Earthquake,6.5,172,12537886.12
2022,North America,Wildfire,5.4,238,21817276.66
2023,North America,Hurricane/Storm,8.0,772,45157807.2
2022,Asia-Pacific,Flood,6.3,1449,52165171.55
2018,Europe,Hurricane/Storm,7.5,810,60906854.46
2023,Asia-Pacific,Earthquake,6.8,202,12928265.46
2022,North America,Hurricane/Storm,6.4,1379,53602033.51
2020,North America,Flood,4.3,1333,45375269.97
2023,Asia-Pacific,Flood,7.8,254,11154583.78
2018,Asia-Pacific,Flood,6.1,1243,21809505.14
2019,Europe,Hurricane/Storm,8.1,2125,164220617.7
2020,Europe,Flood,6.0,1416,18182119.78
2018,Latin America,Flood,5.4,848,12956859.31
2018,Latin America,Hurricane/Storm,6.5,1898,57635083.15
2023,Europe,Tornado,4.3,44,693380.09
2022,North America,Tornado,8.3,213,9129943.23
2019,Asia-Pacific,Hurricane/Storm,6.7,1937,85492680.67
2020,Asia-Pacific,Hurricane/Storm,5.6,671,25896851.21
2020,Asia-Pacific,Flood,7.2,1298,29944875.38
2022,Asia-Pacific,Hurricane/Storm,7.6,1817,43547866.42
2019,Asia-Pacific,Hurricane/Storm,8.4,618,21425309.27
2023,Latin America,Flood,6.4,312,6979940.0
2020,Asia-Pacific,Hurricane/Storm,5.5,1949,55025547.59
2019,North America,Earthquake,7.2,629,80699888.69
2023,Asia-Pacific,Flood,4.5,750,29488075.13
2023,North America,Wildfire,6.3,269,13191394.6
2020,North America,Hurricane/Storm,7.3,657,32698137.17
2022,Asia-Pacific,Flood,7.4,541,13366763.51
2021,North America,Flood,6.3,436,8343373.14
2020,Asia-Pacific,Flood,7.5,700,8287482.84
2018,Europe,Tornado,4.8,28,1271411.77
2018,Latin America,Hurricane/Storm,6.7,1159,40444221.77
2023,Latin America,Flood,7.3,1370,34129887.54
2021,Asia-Pacific,Tornado,4.8,274,18899906.93
2020,Middle East & Africa,Flood,5.9,778,31852175.16
2018,Europe,Flood,5.8,955,17215638.06
2018,Asia-Pacific,Flood,6.5,1150,28440586.87
2020,Middle East & Africa,Tornado,7.5,289,16422864.89
2019,North America,Flood,5.6,677,21435044.01
2023,Asia-Pacific,Hurricane/Storm,5.0,1186,23824038.8
2020,Asia-Pacific,Wildfire,7.9,103,4569451.43
2019,Middle East & Africa,Earthquake,9.4,245,29685485.63
2023,North America,Tornado,8.0,276,10410202.28
2021,Latin America,Earthquake,8.6,694,41333044.17
2022,North America,Wildfire,5.3,340,11682332.15
2023,Asia-Pacific,Flood,5.2,845,39750217.97
2021,Europe,Wildfire,6.3,281,13779372.0
2022,North America,Flood,7.1,1397,20059401.95
2018,North America,Earthquake,7.1,223,23101117.44
2018,Middle East & Africa,Flood,5.2,742,32721671.27
2018,North America,Wildfire,6.2,410,32300398.12
2023,North America,Wildfire,6.3,96,7658977.72
2019,Middle East & Africa,Earthquake,6.2,406,30862771.78
2022,Middle East & Africa,Flood,5.6,1126,36300157.42
2018,Asia-Pacific,Flood,4.4,486,7221051.29
2020,North America,Hurricane/Storm,5.9,905,62825466.44
2022,Europe,Hurricane/Storm,7.6,1692,93342775.72
2022,Latin America,Flood,8.0,604,27844305.34
2019,Europe,Flood,7.6,879,13098072.5
2021,Latin America,Flood,7.7,1087,46596881.26
2019,Europe,Flood,6.7,553,13359224.75
2018,Latin America,Flood,5.8,504,5738532.79
2020,Asia-Pacific,Flood,5.2,1043,47259522.11
2020,Europe,Flood,5.5,1058,19021054.38
2018,Latin America,Hurricane/Storm,7.5,2142,112710756.89
2020,North America,Earthquake,8.5,591,61731002.34
2019,Europe,Tornado,6.3,208,6213784.23
2023,North America,Hurricane/Storm,5.1,2160,144098561.26
2019,North America,Tornado,6.4,129,8845387.12
2023,North America,Hurricane/Storm,6.1,2171,146486559.25
2018,Asia-Pacific,Hurricane/Storm,8.8,1679,118856922.81
2020,Asia-Pacific,Earthquake,8.9,965,65013211.03
2022,North America,Flood,7.0,934,43486292.95
2021,North America,Hurricane/Storm,8.8,1654,47182231.3
2022,Latin America,Wildfire,8.2,302,20520514.08
2023,North America,Flood,4.2,1432,26853376.18
2019,Asia-Pacific,Flood,7.7,612,25861783.72
2019,Europe,Flood,7.2,862,10673489.6
2019,North America,Hurricane/Storm,5.6,727,51463496.32
2019,Latin America,Tornado,5.7,212,10012954.29
2021,Europe,Flood,7.9,1094,45591028.89
2018,Middle East & Africa,Hurricane/Storm,5.7,2483,133383379.6
2019,Latin America,Hurricane/Storm,6.4,1863,103092848.41
2023,North America,Flood,6.8,460,7869832.51
2020,North America,Hurricane/Storm,7.3,2242,178590966.72
2021,Middle East & Africa,Flood,6.4,1452,27349596.15
2023,Asia-Pacific,Tornado,4.6,49,1376399.02
2023,Middle East & Africa,Flood,7.5,381,16332125.91
2019,Asia-Pacific,Hurricane/Storm,6.3,523,18782366.38
2020,North America,Flood,5.0,421,16341764.82
2019,North America,Earthquake,7.5,270,37382903.93
2023,Europe,Earthquake,7.9,203,26974781.64
2018,Asia-Pacific,Hurricane/Storm,8.0,961,28598774.47
2021,North America,Wildfire,6.2,213,10283414.16
2018,North America,Flood,7.6,529,20778804.4
2021,Asia-Pacific,Wildfire,5.4,354,35035141.76
