Year,Region,Latitude,Longitude,Disaster Type,Severity Score,Claim Frequency,Claim Amount (USD),Risk Score,Risk Category
2020,China,34.3213,105.1531,Flood,7.9,250,6501203.82,34.8,Low
2015,Germany,50.6919,9.0503,Drought,6.4,1232,32108765.59,41.1,Medium
2011,Philippines,13.4928,120.6681,Flood,8.1,1510,41081978.25,51.6,Medium
2014,USA,36.5812,-95.7018,Drought,3.7,1156,34250288.53,29.8,Low
2016,Canada,54.4057,-106.4796,Earthquake,9.0,385,34791011.14,43.3,Medium
2012,India,20.0657,78.1264,Wildfire,8.3,298,24577510.77,38.6,Low
2017,China,35.8334,105.2805,Flood,8.1,1204,26217686.29,47.1,Medium
2010,Canada,54.2256,-106.1738,Hurricane/Typhoon,7.8,339,32903141.93,37.9,Low
2021,USA,37.7192,-94.314,Wildfire,5.5,592,70340316.34,35.0,Low
2021,India,22.4347,80.8502,Flood,5.3,379,21397334.94,27.1,Low
2014,Italy,41.949,13.3634,Earthquake,9.4,136,20358176.64,41.0,Medium
2018,Germany,51.7089,10.0274,Hurricane/Typhoon,5.2,835,45262263.91,33.7,Low
2022,Japan,35.46,139.4533,Wildfire,8.3,375,30634893.62,40.0,Medium
2012,Japan,37.9742,136.7944,Wildfire,5.5,158,9717987.29,24.6,Low
2018,India,20.2161,79.1037,Drought,3.8,731,14084127.22,23.9,Low
2011,Mexico,21.9917,-101.3196,Earthquake,8.5,667,56587997.84,46.3,Medium
2023,Mexico,22.9412,-104.1851,Flood,5.6,2303,39617997.25,49.4,Medium
2020,Australia,-23.9896,132.4655,Drought,6.4,1238,30902422.35,41.1,Medium
2014,Japan,36.0482,139.4656,Flood,4.1,1110,23179226.12,29.8,Low
2023,Mexico,23.119,-102.0288,Hurricane/Typhoon,7.3,1360,129262172.25,55.7,Medium
2020,USA,39.0786,-96.919,Hurricane/Typhoon,8.2,676,63749962.48,45.9,Medium
2018,Mexico,22.9562,-104.3792,Hurricane/Typhoon,5.7,2650,174871863.98,66.8,Medium
2019,Philippines,12.8545,121.3009,Hurricane/Typhoon,6.4,1066,60227833.95,42.3,Medium
2013,India,19.1845,79.4164,Hurricane/Typhoon,7.6,2343,151637864.36,69.0,Medium
2012,Brazil,-15.9861,-52.8009,Flood,4.9,2353,61676010.05,49.3,Medium
2015,Canada,56.3046,-108.2619,Earthquake,8.5,541,78630095.97,47.3,Medium
2022,Germany,52.8107,10.4596,Earthquake,6.6,376,57021889.84,35.9,Low
2012,USA,38.3328,-96.5863,Tornado,6.1,193,12740032.31,27.6,Low
2018,Canada,58.0259,-107.9395,Wildfire,6.2,107,11072732.43,27.0,Low
2022,Canada,56.4328,-104.4093,Earthquake,9.3,227,22956974.01,41.8,Medium
2018,China,37.0848,104.9805,Drought,3.1,820,23739963.26,23.0,Low
2010,Brazil,-13.9776,-53.1671,Drought,6.5,1108,23093481.17,39.4,Low
2019,Japan,34.3519,136.4747,Hurricane/Typhoon,5.1,2257,90372559.08,52.0,Medium
2015,Italy,40.6759,11.082,Wildfire,9.1,381,20638357.53,42.3,Medium
2017,USA,37.9088,-97.1434,Flood,6.4,1694,98633393.53,52.4,Medium
2010,India,22.3577,78.5424,Flood,5.4,758,44656607.5,33.6,Low
2011,Philippines,12.6175,122.3271,Hurricane/Typhoon,6.3,2601,212277035.76,72.4,High
2015,Canada,57.278,-107.4471,Hurricane/Typhoon,5.7,1556,130765770.71,51.4,Medium
2023,Australia,-26.5592,131.7772,Wildfire,7.6,83,5207895.0,31.8,Low
2022,Australia,-24.0348,134.2155,Hurricane/Typhoon,5.4,2332,112958820.07,56.2,Medium
2014,Philippines,11.822,123.6995,Flood,8.0,563,29261801.84,40.6,Medium
2013,China,36.7771,103.533,Flood,4.9,477,14678078.14,25.8,Low
2010,UK,56.2517,-5.2374,Hurricane/Typhoon,6.7,981,91304730.58,45.7,Medium
2013,Germany,50.6749,10.6341,Flood,6.2,1123,25064846.82,38.5,Low
2019,USA,38.473,-96.5304,Earthquake,9.3,125,15127123.02,40.0,Medium
2011,Italy,40.5136,10.86,Drought,6.9,792,17329443.82,37.3,Low
2011,China,35.7909,102.314,Drought,3.7,989,12997512.72,26.0,Low
2021,USA,35.9122,-96.9501,Wildfire,8.2,321,30893634.65,39.1,Low
2017,Australia,-26.8863,133.3416,Hurricane/Typhoon,7.0,523,32242811.55,36.5,Low
2023,India,19.7682,79.6081,Hurricane/Typhoon,5.8,405,21228957.49,29.4,Low
2011,China,37.7682,104.0843,Flood,7.5,2128,78755910.73,59.2,Medium
2022,China,34.2245,104.3665,Flood,8.0,1713,40077746.02,53.1,Medium
2018,USA,36.849,-96.6564,Tornado,6.5,87,5666667.44,27.4,Low
2022,China,34.2028,103.5652,Hurricane/Typhoon,8.9,2715,145661828.38,77.3,High
2012,USA,36.6384,-95.6197,Drought,5.7,1072,22998994.39,35.8,Low
2012,Japan,35.3954,137.8292,Tornado,4.2,302,22356245.71,22.1,Low
2020,Mexico,24.3401,-102.0689,Flood,7.4,908,52398652.2,43.9,Medium
2017,Japan,35.0476,137.0209,Flood,4.4,1983,47763266.95,42.2,Medium
2018,Mexico,22.2215,-102.1698,Earthquake,8.5,118,10672308.56,36.2,Low
2012,Brazil,-14.0218,-50.4935,Hurricane/Typhoon,8.7,350,30517563.42,41.4,Medium
2014,China,35.9502,103.8684,Hurricane/Typhoon,5.6,2708,202993373.08,69.8,Medium
2018,Canada,54.5308,-107.9175,Wildfire,8.5,598,66742483.94,46.7,Medium
2023,Italy,40.9265,13.1792,Hurricane/Typhoon,6.9,1005,56807472.76,43.3,Medium
2019,USA,37.5246,-94.9354,Flood,8.0,1557,71735846.19,54.7,Medium
2016,USA,36.9909,-96.6357,Earthquake,7.2,360,42233009.67,36.6,Low
2013,Mexico,25.0629,-101.8106,Drought,3.9,715,21081337.77,24.9,Low
2018,India,21.8933,78.0377,Hurricane/Typhoon,7.6,1069,71091702.6,48.2,Medium
2022,Italy,41.4987,12.4978,Hurricane/Typhoon,6.5,530,37585576.54,35.1,Low
2021,Japan,35.4445,138.2772,Flood,7.8,318,7256181.56,35.1,Low
2021,Italy,40.6729,10.7905,Flood,4.2,1676,78283492.15,41.4,Medium
2013,Australia,-23.976,133.7905,Hurricane/Typhoon,5.5,425,23169421.41,28.6,Low
2021,Germany,50.9444,12.2921,Hurricane/Typhoon,7.2,1710,85176496.85,54.4,Medium
2014,Italy,42.8658,13.3154,Earthquake,7.4,216,39411048.79,35.7,Low
2016,UK,54.2273,-4.5446,Flood,4.9,1877,71509299.41,45.5,Medium
2020,Mexico,25.4986,-101.8212,Hurricane/Typhoon,5.5,1009,76753133.68,39.8,Low
2020,USA,36.0996,-94.4897,Earthquake,9.4,708,80036162.31,52.7,Medium
2015,Italy,43.2763,12.396,Flood,5.4,2332,121483177.61,57.1,Medium
2017,India,18.9992,79.0061,Wildfire,8.8,433,38667765.22,43.4,Medium
2018,China,34.9907,104.9277,Hurricane/Typhoon,6.3,1432,112319900.54,50.8,Medium
2017,Mexico,22.6746,-101.7056,Tornado,5.3,86,4389234.9,22.5,Low
2011,Japan,34.4271,139.6793,Tornado,5.8,173,10526244.69,26.0,Low
2013,Philippines,13.4916,123.7599,Earthquake,7.5,447,75278309.62,42.0,Medium
2013,China,37.839,105.4541,Earthquake,8.5,752,108405471.56,52.4,Medium
2011,UK,56.9961,-2.7425,Hurricane/Typhoon,8.4,2993,277120933.37,91.2,High
2015,Japan,34.5904,136.7618,Earthquake,8.8,237,45890500.93,42.2,Medium
2010,Italy,42.4877,11.449,Flood,7.9,1922,96991941.88,60.5,Medium
2019,Australia,-26.2278,132.9462,Tornado,6.1,334,18374835.38,29.6,Low
2018,Canada,54.4149,-104.7823,Hurricane/Typhoon,8.5,1863,133745348.05,66.0,Medium
2013,India,22.0734,77.5631,Drought,4.4,1266,35266838.52,33.8,Low
2019,Canada,54.7029,-104.8904,Flood,4.4,1562,67785293.56,40.0,Medium
2013,Japan,36.738,136.2689,Earthquake,8.7,222,33112070.32,40.3,Medium
2010,Japan,37.3408,139.369,Flood,6.0,1958,64912999.56,50.1,Medium
2011,Canada,55.6633,-108.1891,Flood,5.7,257,14171053.93,26.8,Low
2021,Philippines,12.9941,119.8417,Flood,7.3,1126,52030898.94,45.7,Medium
2020,Australia,-26.7543,133.3042,Hurricane/Typhoon,5.7,487,28193469.85,30.5,Low
2010,Australia,-24.3587,134.1555,Earthquake,9.1,187,22650924.91,40.5,Medium
2013,Italy,41.307,11.3137,Drought,6.7,926,9614190.06,37.0,Low
2011,Japan,38.1395,137.0948,Flood,6.3,704,22173617.18,34.5,Low
2010,China,34.0095,105.6962,Earthquake,7.9,99,14975817.93,34.1,Low
2023,USA,35.5225,-94.3655,Flood,4.5,2019,64832955.63,44.7,Medium
2015,Brazil,-14.3324,-53.3075,Wildfire,7.8,358,28447038.7,37.6,Low
2011,USA,37.1712,-95.2188,Wildfire,6.9,157,13472316.8,30.5,Low
2018,China,34.9908,105.329,Hurricane/Typhoon,7.4,1377,123778432.55,55.7,Medium
2013,Canada,55.5617,-106.701,Flood,6.5,1050,48267635.01,41.3,Medium
2014,Germany,50.098,8.501,Flood,4.5,2223,48264669.32,45.1,Medium
2020,USA,37.1368,-94.8157,Flood,5.2,1146,40744661.18,36.3,Low
2017,Canada,55.1865,-108.1397,Tornado,7.9,158,6574835.02,33.8,Low
2013,China,35.564,102.6536,Tornado,8.0,14,995678.93,32.2,Low
2018,China,34.542,103.6201,Hurricane/Typhoon,7.5,680,42402983.85,41.0,Medium
2012,Australia,-26.8147,133.371,Hurricane/Typhoon,8.3,2258,198690329.65,75.6,High
2021,China,37.0476,102.6422,Wildfire,5.3,213,12196362.41,24.5,Low
2019,Italy,41.8007,12.8358,Hurricane/Typhoon,7.4,1768,135572901.12,60.8,Medium
2019,Mexico,25.1498,-101.6409,Tornado,6.2,259,6935048.43,28.1,Low
2017,India,18.7739,78.0065,Earthquake,8.5,744,106375743.19,52.1,Medium
2013,Philippines,13.7651,120.6659,Drought,6.5,1163,23797379.86,40.0,Medium
2022,Philippines,11.251,122.4169,Flood,5.6,1776,38520463.82,44.0,Medium
2017,Mexico,25.1982,-102.0983,Flood,8.2,2270,120759575.46,67.6,Medium
2022,Mexico,25.1077,-104.2505,Hurricane/Typhoon,6.0,1439,61907280.69,44.6,Medium
2016,Japan,36.7733,137.8631,Flood,6.1,2035,38585418.84,48.6,Medium
2013,Germany,50.4242,12.3727,Wildfire,5.1,463,36513892.33,28.7,Low
2011,Brazil,-16.2293,-53.5564,Hurricane/Typhoon,7.5,1547,144500093.63,59.9,Medium
2011,Brazil,-13.6116,-52.0952,Earthquake,8.9,278,50406429.79,43.4,Medium
2020,Australia,-24.2003,134.1698,Wildfire,6.6,513,29744578.8,34.5,Low
2016,Philippines,11.757,121.1354,Tornado,8.3,159,8404968.15,35.6,Low
2015,India,19.0153,80.5475,Hurricane/Typhoon,8.3,1976,91721356.09,62.1,Medium
2016,China,34.6102,105.9109,Earthquake,7.6,245,40673564.69,36.9,Low
2016,USA,36.7479,-94.0035,Tornado,6.6,240,11386385.43,29.9,Low
2017,China,35.8768,106.0454,Flood,7.3,2466,140781159.92,67.9,Medium
2023,Mexico,23.5617,-102.5167,Drought,3.7,1284,17299338.94,29.4,Low
